feature_name,decision,mask_rule,reason,notes
Wind speed (m/s),keep,,Retained because it is part of the current graph forecasting feature packs.,
"Wind speed, Standard deviation (m/s)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Wind speed, Minimum (m/s)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Wind speed, Maximum (m/s)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Long Term Wind (m/s),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Wind speed Sensor 1 (m/s),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Wind speed Sensor 1, Standard deviation (m/s)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Wind speed Sensor 1, Minimum (m/s)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Wind speed Sensor 1, Maximum (m/s)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Wind speed Sensor 2 (m/s),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Wind speed Sensor 2, Standard deviation (m/s)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Wind speed Sensor 2, Minimum (m/s)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Wind speed Sensor 2, Maximum (m/s)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Density adjusted wind speed (m/s),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Wind direction (°),keep,,Retained because it is part of the current graph forecasting feature packs.,
Nacelle position (°),keep,,Retained because it is part of the current graph forecasting feature packs.,
"Wind direction, Standard deviation (°)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Wind direction, Minimum (°)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Wind direction, Maximum (°)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Nacelle position, Standard deviation (°)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Nacelle position, Minimum (°)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Nacelle position, Maximum (°)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Vane position 1+2 (°),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Vane position 1+2, Max (°)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Vane position 1+2, Min (°)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
"Vane position 1+2, StdDev (°)",drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Energy Export (kWh),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Energy Export counter (kWh),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Energy Import (kWh),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Energy Import counter (kWh),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Lost Production (Contractual) (kWh),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Lost Production (Time-based IEC B.2.2) (kWh),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
Lost Production (Time-based IEC B.2.3) (kWh),drop,,Out of scope for the current graph forecasting feature packs; keeping it would increase cache and maintenance cost without current downstream use.,
